,name,country,discipline
455,Jorge JUKICH,"URU, ",Road Cycling
456,Paul MCCORMACK,"IRL, ",Road Cycling
457,Marin NICULESCU,"ROU, ",Road Cycling
458,Renato PICCOLO,"ITA, ",Road Cycling
459,Astrid DANIELSEN,"NOR, ",Road Cycling
460,Sara NEIL,"CAN, ",Road Cycling
461,Laurent BEZAULT,"FRA, ",Road Cycling
462,Jurgen ROELANDTS,"BEL, ",Road Cycling
463,Jan WIJNANTS,"BEL, ",Road Cycling
464,Spas GYUROV,"BUL, ",Road Cycling
465,Adrianus TAK,"NED, ",Road Cycling
466,Miguel SAMACA,"COL, ",Road Cycling
467,Osvaldo BENVENUTI,"ARG, ",Road Cycling
468,Wolfgang STEINMAYR,"AUT, ",Road Cycling
469,Petr MATOUSEK,"TCH, ",Road Cycling
470,Robert THALMANN,"SUI, ",Road Cycling
471,Yumari GONZALEZ,"CUB, ",Road Cycling
472,Gary THOMSON,"IRL, ",Road Cycling
473,Somchai CHANTARASAMRIT,"THA, ",Road Cycling
474,Remi PAURIOL,"FRA, ",Road Cycling
475,Lieselot DECROIX,"BEL, ",Road Cycling
476,Leigh HOBSON,"CAN, ",Road Cycling
477,Peter MCDERMOTT,"AUS, ",Road Cycling
478,Jan MAGIERA,"POL, ",Road Cycling
479,Tanasija KUVALJA,"YUG, ",Road Cycling
480,Paul MCCORMACK,"IRL, ",Road Cycling
481,Marin NICULESCU,"ROU, ",Road Cycling
482,Renato PICCOLO,"ITA, ",Road Cycling
483,Astrid DANIELSEN,"NOR, ",Road Cycling
484,Sara NEIL,"CAN, ",Road Cycling
485,Laurent BEZAULT,"FRA, ",Road Cycling
486,Jurgen ROELANDTS,"BEL, ",Road Cycling
487,Jan WIJNANTS,"BEL, ",Road Cycling
488,Spas GYUROV,"BUL, ",Road Cycling
489,Adrianus TAK,"NED, ",Road Cycling
490,Miguel SAMACA,"COL, ",Road Cycling
491,Osvaldo BENVENUTI,"ARG, ",Road Cycling
492,Wolfgang STEINMAYR,"AUT, ",Road Cycling
493,Petr MATOUSEK,"TCH, ",Road Cycling
494,Robert THALMANN,"SUI, ",Road Cycling
495,Yumari GONZALEZ,"CUB, ",Road Cycling
496,Gary THOMSON,"IRL, ",Road Cycling
497,Somchai CHANTARASAMRIT,"THA, ",Road Cycling
498,Remi PAURIOL,"FRA, ",Road Cycling
499,Lieselot DECROIX,"BEL, ",Road Cycling
500,Leigh HOBSON,"CAN, ",Road Cycling
501,Peter MCDERMOTT,"AUS, ",Road Cycling
502,Jan MAGIERA,"POL, ",Road Cycling
503,Tanasija KUVALJA,"YUG, ",Road Cycling
504,Istvan SCHILLERVEIN,"HUN, ",Road Cycling
505,Bogumila MATUSIAK,"POL, ",Road Cycling
506,Sylvain CHAVANEL,"FRA, ",Road Cycling
507,Hans LUTHI,"SUI, ",Road Cycling
508,Piotr CHMIELEWSKI,"POL, ",Road Cycling
509,Thomas ROHREGGER,"AUT, ",Road Cycling
510,Oscar CAMENZIND,"SUI, ",Road Cycling
511,Sergey YAKOVLEV,"KAZ, ",Road Cycling
512,Solrun FLATAAS,"NOR, ",Road Cycling
513,Andris REISS,"LAT, ",Road Cycling
514,Mauro GIANETTI,"SUI, ",Road Cycling
515,Anders ADAMSON,"SWE, ",Road Cycling
516,Yvan WADDELL,"CAN, ",Road Cycling
517,Gheorghe BADARA,"ROU, ",Road Cycling
518,Domingo VILLANUEVA,"PHI, ",Road Cycling
519,Hamid SUPAAT,"MAS, ",Road Cycling
520,Hiroshi YAMAO,"JPN, ",Road Cycling
521,Pierre GOUWS,"ZIM, ",Road Cycling
522,Kathlyn RAGG,"FIJ, ",Road Cycling
523,Andon PETROV,"BUL, ",Road Cycling
524,Jose SERPA,"COL, ",Road Cycling
525,Zinaida STAHURSKAYA,"BLR, ",Road Cycling
526,Gregorio BARE,"URU, ",Road Cycling
527,Romas BRONIS,"SVK, ",Road Cycling
528,Istvan SCHILLERVEIN,"HUN, ",Road Cycling
529,Bogumila MATUSIAK,"POL, ",Road Cycling
