,name,country,discipline
47,Otto JEMELKA,"TCH, ",Modern Pentathlon
48,Erhard MINDER,"SUI, ",Modern Pentathlon
49,Gosta RUNO,"SWE, ",Modern Pentathlon
50,Ake GRONHAGEN,"SWE, ",Modern Pentathlon
51,Christiaan TONNET,"NED, ",Modern Pentathlon
52,Josephus SERRE,"NED, ",Modern Pentathlon
53,Vilhelm LAYBOURN,"DEN, ",Modern Pentathlon
54,Giulio GIUNTA,"ITA, ",Modern Pentathlon
55,Helmut NAUDE,"GER, ",Modern Pentathlon
56,Roberto BOMPREZZI,"ITA, ",Modern Pentathlon
57,Shinichi TOMII,"JPN, ",Modern Pentathlon
58,Gabor BENEDEK,"HUN, ",Modern Pentathlon
59,Marian COSMESCU,"ROU, ",Modern Pentathlon
60,Konstantin SARDJEV,"BUL, ",Modern Pentathlon
61,Edvinas KRUNGOLCAS,"LTU, ",Modern Pentathlon
62,Paulina BOENISZ,"POL, ",Modern Pentathlon
63,Dorota IDZI,"POL, ",Modern Pentathlon
64,Helmut SPANNAGL,"AUT, ",Modern Pentathlon
65,Marina CARRIER,"AUS, ",Modern Pentathlon
66,Gaspare PASTA,"ITA, ",Modern Pentathlon
67,Ivar SISNIEGA,"MEX, ",Modern Pentathlon
68,Hiroshi SAITO,"JPN, ",Modern Pentathlon
69,Dmytro KIRPULIANSKYI,"UKR, ",Modern Pentathlon
70,Lars HALL,"SWE, ",Modern Pentathlon
71,Valentin PRADES,"FRA, ",Modern Pentathlon
72,Erhard MINDER,"SUI, ",Modern Pentathlon
73,Gosta RUNO,"SWE, ",Modern Pentathlon
74,Ake GRONHAGEN,"SWE, ",Modern Pentathlon
75,Christiaan TONNET,"NED, ",Modern Pentathlon
76,Josephus SERRE,"NED, ",Modern Pentathlon
77,Vilhelm LAYBOURN,"DEN, ",Modern Pentathlon
78,Giulio GIUNTA,"ITA, ",Modern Pentathlon
79,Helmut NAUDE,"GER, ",Modern Pentathlon
80,Roberto BOMPREZZI,"ITA, ",Modern Pentathlon
81,Shinichi TOMII,"JPN, ",Modern Pentathlon
82,Gabor BENEDEK,"HUN, ",Modern Pentathlon
83,Marian COSMESCU,"ROU, ",Modern Pentathlon
84,Konstantin SARDJEV,"BUL, ",Modern Pentathlon
85,Edvinas KRUNGOLCAS,"LTU, ",Modern Pentathlon
86,Paulina BOENISZ,"POL, ",Modern Pentathlon
87,Dorota IDZI,"POL, ",Modern Pentathlon
88,Helmut SPANNAGL,"AUT, ",Modern Pentathlon
89,Marina CARRIER,"AUS, ",Modern Pentathlon
90,Gaspare PASTA,"ITA, ",Modern Pentathlon
91,Ivar SISNIEGA,"MEX, ",Modern Pentathlon
